Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,32.1687672000,34.8133642000,45.30973453283714,0.057500154,4.165,,1713027212562,0.087423444,,338426702528802,2.0720508,0,,,
GPS,32.1687625300,34.8133654300,46.262451171875,0.0,3.7900925,,1713027214000,1.194647,,338427699413646,2.5,0,,,
FLP,32.1687686000,34.8133641000,45.38442414516535,0.06497167,4.142,,1713027213562,0.0925739,,338427703638034,2.0712461,0,,,
GPS,32.1687620900,34.8133666800,46.0872802734375,0.0,3.7900925,,1713027215000,0.07055518,,338428700733385,2.5,0,,,
FLP,32.1687678000,34.8133635000,45.333404816814905,0.05275058,4.091,,1713027214560,0.081501715,,338428700733385,2.08121,0,,,
GPS,32.1687618800,34.8133675500,46.04559326171875,0.0,3.7900925,,1713027216000,0.070686,,338429694454426,2.5,0,,,
FLP,32.1687674000,34.8133632000,44.8497568795843,0.08880397,4.081,,1713027215553,0.11391639,,338429694454426,2.082856,0,,,
NLP,32.1688392000,34.8134048000,13.199999809265137,,28.1,,1713027216450,,,338430590000000,43.39432,0,,,
FLP,32.1687683000,34.8133639000,44.80078141621476,0.065544054,4.048,,1713027216449,0.08865676,,338430590000000,2.0806973,0,,,
GPS,32.1687636900,34.8133731200,46.128662109375,0.48,3.7900925,66.7,1713027217000,0.91997445,4.871449,338430699822968,2.5,0,,,
GPS,32.1687716700,34.8133851600,45.90814208984375,1.91,3.7900925,52.9,1713027218000,0.042019553,1.4099108,338431693623123,2.5,0,,,
FLP,32.1687714000,34.8133658000,44.66486991584834,0.2642016,4.001,319.72266,1713027217552,0.2087343,45.0,338431693623123,2.0707173,0,,,
GPS,32.1687844100,34.8133948000,45.8896484375,1.67,3.7900925,35.3,1713027219000,0.04653027,1.7893467,338432691430363,2.5,0,,,
FLP,32.1687697000,34.8133645000,44.67124992922746,0.11742517,4.038,293.71753,1713027218562,0.15799057,45.0,338432702684076,2.0825925,0,,,
GPS,32.1687979800,34.8133976800,46.4217529296875,1.22,3.7900925,11.6,1713027220000,0.063586555,3.3432515,338433690769113,2.5,0,,,
FLP,32.1687936000,34.8133923000,43.983256588114415,1.2199123,4.011,10.999349,1713027219550,0.063586555,3.3432515,338433690769113,2.0822017,0,,,
GPS,32.1688107600,34.8133934900,45.98333740234375,1.16,3.7900925,349.8,1713027221000,0.06903613,3.8133929,338434689252914,2.5,0,,,
FLP,32.1688090000,34.8133938000,43.647899342588566,1.1596477,3.991,349.20462,1713027220548,0.06903613,3.8133929,338434689252914,2.0705185,0,,,
GPS,32.1688188100,34.8133888000,45.55535888671875,0.54,3.7900925,11.3,1713027222000,0.92056435,10.465772,338435698826455,2.5,0,,,
FLP,32.1688190000,34.8133896000,43.67923746518744,0.87313527,3.947,5.5486064,1713027221558,0.92056435,10.465772,338435698826455,2.0710318,0,,,
GPS,32.1688229800,34.8133825400,45.09075927734375,0.0,3.7900925,,1713027223000,0.06989795,,338436691368174,2.5,0,,,
