Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,32.1687711000,34.8132726000,47.95362851830181,0.13001147,3.964,51.417374,1713027077555,1.0170894,45.0,338291696001511,2.6169577,0,,,
GPS,32.1687709900,34.8132722900,45.31585693359375,0.0,3.7900925,,1713027079000,1.0069569,,338292694201874,2.5,0,,,
FLP,32.1687711000,34.8132724000,47.30269241706786,0.04240608,3.964,,1713027078554,1.0069569,,338292694201874,2.4709222,0,,,
GPS,32.1687712000,34.8132738700,44.76971435546875,0.0,3.7900925,,1713027080000,1.0027264,,338293702581719,2.5,0,,,
FLP,32.1687712000,34.8132738000,47.28228379147882,0.09575685,3.9,,1713027079562,1.0027264,,338293702581719,2.4569466,0,,,
NLP,32.1688319000,34.8134070000,50.80000305175781,,15.985,,1713027079668,,,338293808000000,64.154526,0,,,
FLP,32.1687712000,34.8132754000,46.17408753223803,0.12702192,3.926,86.00863,1713027080558,0.99248636,45.0,338294698616822,2.4217572,0,,,
GPS,32.1687711800,34.8132754200,44.31121826171875,0.0,3.7900925,,1713027081000,0.99248636,,338294698616822,2.5,0,,,
GPS,32.1687711200,34.8132779600,43.45745849609375,0.0,3.7900925,,1713027082000,0.996146,,338295698152707,2.5,0,,,
FLP,32.1687711000,34.8132779000,46.1822509765625,0.1944588,3.926,90.89159,1713027081557,0.996146,45.0,338295698152707,2.4108372,0,,,
GPS,32.1687723100,34.8132838500,43.27667236328125,0.0,3.7900925,,1713027083000,0.07065966,,338296700369999,2.5,0,,,
FLP,32.1687722000,34.8132837000,45.3383064840723,0.40777823,3.926,79.708755,1713027082559,0.07065966,45.0,338296700369999,2.3971868,0,,,
GPS,32.1687735500,34.8132852900,42.99407958984375,0.0,3.7900925,,1713027084000,0.070694454,,338297695830623,2.5,0,,,
FLP,32.1687736000,34.8132855000,45.31177520354856,0.28809965,3.926,65.735466,1713027083554,0.070694454,45.0,338297695830623,2.3866472,0,,,
GPS,32.1687746700,34.8132856900,43.09039306640625,0.0,3.7900925,,1713027085000,0.070695065,,338298696516404,2.5,0,,,
FLP,32.1687747000,34.8132859000,44.74726487545047,0.17687812,3.922,45.772987,1713027084556,0.070695065,45.0,338298696516404,2.375559,0,,,
NLP,32.1688313000,34.8134005000,50.80000305175781,,17.124,,1713027084695,,,338298836000000,59.59149,0,,,
