UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,58,0,1,2,1575420030,38.00,317.0,34.0,1,1,1,33.0
,58,1,1,3,1575420030,37.00,262.0,14.0,1,1,0,32.0
,58,2,1,8,1575420030,42.80,244.0,56.0,1,1,1,37.8
,58,3,1,10,1575420030,34.00,49.0,31.0,1,1,1,29.0
,58,4,1,21,1575420030,39.30,325.0,51.0,1,1,1,34.3
,58,5,1,27,1575420030,40.20,188.0,41.0,1,1,1,35.2
,58,6,1,28,1575420030,30.50,126.0,18.0,1,1,0,25.5
,58,7,1,32,1575420030,40.60,57.0,55.0,1,1,1,35.6
,58,8,3,6,1599750020,31.20,231.0,39.0,1,1,0,26.2
,58,9,3,5,1602562560,40.90,8.0,65.0,1,1,0,35.9
,58,10,3,20,1603124990,25.00,26.0,73.0,1,1,0,20.0
,58,11,3,19,1603687550,24.90,131.0,28.0,1,1,0,19.9
,58,12,3,21,1604249980,38.90,330.0,22.0,1,1,0,33.9
,58,13,3,4,1605374980,23.00,31.0,16.0,0,1,0,18.0
,58,14,5,60,1561097980,36.90,116.0,29.0,1,1,0,31.9
,58,15,5,44,1561097980,20.80,144.0,15.0,0,1,0,15.8
,58,16,5,43,1561097980,35.40,309.0,56.0,1,1,0,30.4
,58,17,5,42,1561097980,43.30,278.0,74.0,1,1,0,38.3
,58,18,5,39,1561097980,24.80,63.0,27.0,1,1,0,19.8
,58,19,5,34,1561097980,36.10,160.0,69.0,1,1,0,31.1
,58,20,5,33,1561097980,29.30,237.0,22.0,0,1,0,24.3
,58,21,5,21,1561097980,39.90,37.0,44.0,1,1,0,34.9
,58,22,5,16,1561097980,28.50,73.0,28.0,1,1,0,23.5
,58,23,5,14,1561097980,42.20,245.0,49.0,1,1,0,37.2
,58,24,5,13,1561097980,24.20,69.0,18.0,1,1,0,19.2
,58,25,5,12,1561097980,40.80,144.0,38.0,1,1,0,35.8
,58,26,5,11,1561097980,39.40,300.0,82.0,1,1,0,34.4
,58,27,5,9,1561097980,29.70,95.0,30.0,1,1,0,24.7
,58,28,5,5,1561097980,38.00,138.0,46.0,1,1,0,33.0
,58,29,5,2,1561097980,24.10,112.0,27.0,0,1,0,19.1
,58,30,6,4,1575420030,19.60,202.0,27.0,0,1,0,14.6
,58,31,6,10,1575420030,35.20,318.0,34.0,1,1,0,30.2
,58,32,6,12,1575420030,28.50,338.0,57.0,1,1,0,23.5
,58,33,6,19,1575420030,29.20,119.0,73.0,1,1,0,24.2
,58,34,6,24,1575420030,31.00,260.0,7.0,1,1,0,26.0
,58,35,6,33,1575420030,31.50,91.0,51.0,1,1,0,26.5
,58,36,1,3,1176450050,27.30,262.0,14.0,1,1,0,22.3
,58,37,1,8,1176450050,29.70,244.0,56.0,1,1,1,24.7
,58,38,1,10,1176450050,21.90,49.0,31.0,1,1,1,16.9
,58,39,1,27,1176450050,28.70,188.0,41.0,1,1,1,23.7
,58,40,1,28,1176450050,16.00,126.0,18.0,0,1,0,11.0
,58,41,1,32,1176450050,22.80,57.0,55.0,1,1,1,17.8
,58,42,6,10,1176450050,26.20,318.0,34.0,1,1,0,21.2
,58,43,6,12,1176450050,25.30,338.0,57.0,1,1,0,20.3
,58,44,6,24,1176450050,23.80,260.0,7.0,1,1,0,18.8
,58,45,6,33,1176450050,24.90,91.0,51.0,1,1,0,19.9
,58,46,5,21,1176450050,29.30,37.0,44.0,1,1,0,24.3
,58,47,5,33,1176450050,26.60,237.0,22.0,0,1,0,21.6
,58,48,5,34,1176450050,26.60,160.0,69.0,1,1,0,21.6
,58,49,5,39,1176450050,24.20,63.0,27.0,1,1,0,19.2
,58,50,5,42,1176450050,23.90,278.0,74.0,1,1,0,18.9
,58,51,5,43,1176450050,27.10,309.0,56.0,1,1,0,22.1
,58,52,5,21,1575420030,35.20,37.0,44.0,1,1,0,30.2
,58,53,5,33,1575420030,25.10,237.0,22.0,1,1,0,20.1
,58,54,5,34,1575420030,33.80,160.0,69.0,1,1,0,28.8
,58,55,5,39,1575420030,30.70,63.0,27.0,1,1,0,25.7
,58,56,5,42,1575420030,37.80,278.0,74.0,1,1,0,32.8
,58,57,5,43,1575420030,36.00,309.0,56.0,1,1,0,31.0
1713027079000,58,0,1,2,1575420030,40.20,317.0,34.0,1,1,1,35.2
1713027079000,58,1,1,3,1575420030,38.40,262.0,14.0,1,1,0,33.4
1713027079000,58,2,1,8,1575420030,44.80,244.0,56.0,1,1,1,39.8
1713027079000,58,3,1,10,1575420030,36.70,49.0,31.0,1,1,1,31.7
1713027079000,58,4,1,21,1575420030,41.70,325.0,51.0,1,1,1,36.7
1713027079000,58,5,1,27,1575420030,42.70,188.0,41.0,1,1,1,37.7
1713027079000,58,6,1,28,1575420030,32.80,126.0,18.0,1,1,0,27.8
1713027079000,58,7,1,32,1575420030,41.80,57.0,55.0,1,1,1,36.8
1713027079000,58,8,3,6,1599750020,32.80,231.0,39.0,1,1,0,27.8
1713027079000,58,9,3,5,1602562560,42.90,8.0,65.0,1,1,0,37.9
1713027079000,58,10,3,20,1603124990,26.80,26.0,73.0,1,1,0,21.8
1713027079000,58,11,3,19,1603687550,26.30,131.0,28.0,1,1,0,21.3
1713027079000,58,12,3,21,1604249980,40.50,330.0,22.0,1,1,0,35.5
1713027079000,58,13,3,4,1605374980,26.30,31.0,16.0,0,1,0,21.3
1713027079000,58,14,5,60,1561097980,38.90,116.0,29.0,1,1,0,33.9
1713027079000,58,15,5,44,1561097980,20.80,144.0,15.0,0,1,0,15.8
1713027079000,58,16,5,43,1561097980,37.70,309.0,56.0,1,1,0,32.7
1713027079000,58,17,5,42,1561097980,45.30,278.0,74.0,1,1,0,40.3
1713027079000,58,18,5,39,1561097980,27.20,63.0,27.0,1,1,0,22.2
1713027079000,58,19,5,34,1561097980,38.70,160.0,69.0,1,1,0,33.7
1713027079000,58,20,5,33,1561097980,31.10,237.0,22.0,0,1,0,26.1
1713027079000,58,21,5,21,1561097980,42.10,37.0,44.0,1,1,0,37.1
1713027079000,58,22,5,16,1561097980,31.20,73.0,28.0,1,1,0,26.2
1713027079000,58,23,5,14,1561097980,44.30,245.0,49.0,1,1,0,39.3
1713027079000,58,24,5,13,1561097980,25.70,69.0,18.0,1,1,0,20.7
1713027079000,58,25,5,12,1561097980,43.20,144.0,38.0,1,1,0,38.2
1713027079000,58,26,5,11,1561097980,41.80,300.0,82.0,1,1,0,36.8
1713027079000,58,27,5,9,1561097980,31.70,95.0,30.0,1,1,0,26.7
1713027079000,58,28,5,5,1561097980,40.00,138.0,46.0,1,1,0,35.0
1713027079000,58,29,5,2,1561097980,24.10,112.0,27.0,0,1,0,19.1
1713027079000,58,30,6,4,1575420030,19.60,202.0,27.0,0,1,0,14.6
1713027079000,58,31,6,10,1575420030,39.00,318.0,34.0,1,1,0,34.0
1713027079000,58,32,6,12,1575420030,32.90,338.0,57.0,1,1,0,27.9
1713027079000,58,33,6,19,1575420030,32.60,119.0,73.0,1,1,0,27.6
1713027079000,58,34,6,24,1575420030,34.70,260.0,7.0,1,1,0,29.7
1713027079000,58,35,6,33,1575420030,34.90,91.0,51.0,1,1,0,29.9
1713027079000,58,36,1,3,1176450050,31.70,262.0,14.0,1,1,0,26.7
1713027079000,58,37,1,8,1176450050,33.20,244.0,56.0,1,1,1,28.2
1713027079000,58,38,1,10,1176450050,21.90,49.0,31.0,1,1,1,16.9
1713027079000,58,39,1,27,1176450050,31.60,188.0,41.0,1,1,1,26.6
1713027079000,58,40,1,28,1176450050,16.00,126.0,18.0,0,1,0,11.0
1713027079000,58,41,1,32,1176450050,25.00,57.0,55.0,1,1,1,20.0
1713027079000,58,42,6,10,1176450050,29.20,318.0,34.0,1,1,0,24.2
1713027079000,58,43,6,12,1176450050,27.80,338.0,57.0,1,1,0,22.8
1713027079000,58,44,6,24,1176450050,27.10,260.0,7.0,1,1,0,22.1
1713027079000,58,45,6,33,1176450050,27.30,91.0,51.0,1,1,0,22.3
1713027079000,58,46,5,21,1176450050,31.50,37.0,44.0,1,1,0,26.5
1713027079000,58,47,5,33,1176450050,29.10,237.0,22.0,0,1,0,24.1
1713027079000,58,48,5,34,1176450050,28.60,160.0,69.0,1,1,0,23.6
1713027079000,58,49,5,39,1176450050,26.60,63.0,27.0,1,1,0,21.6
1713027079000,58,50,5,42,1176450050,28.10,278.0,74.0,1,1,0,23.1
1713027079000,58,51,5,43,1176450050,29.80,309.0,56.0,1,1,0,24.8
1713027079000,58,52,5,21,1575420030,37.50,37.0,44.0,1,1,0,32.5
1713027079000,58,53,5,33,1575420030,27.40,237.0,22.0,1,1,0,22.4
1713027079000,58,54,5,34,1575420030,37.10,160.0,69.0,1,1,0,32.1
1713027079000,58,55,5,39,1575420030,34.00,63.0,27.0,0,1,0,29.0
1713027079000,58,56,5,42,1575420030,42.00,278.0,74.0,1,1,0,37.0
1713027079000,58,57,5,43,1575420030,39.50,309.0,56.0,1,1,0,34.5
1713027080000,58,0,1,2,1575420030,38.00,317.0,34.0,1,1,1,33.0
1713027080000,58,1,1,3,1575420030,37.40,262.0,14.0,1,1,0,32.4
1713027080000,58,2,1,8,1575420030,43.00,244.0,56.0,1,1,1,38.0
1713027080000,58,3,1,10,1575420030,34.70,49.0,31.0,1,1,1,29.7
