Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,32.1687809000,34.8133020000,43.251965307031504,0.3067802,3.974,76.66546,1713027120554,0.07067687,45.0,338334694964047,2.3716788,0,,,
GPS,32.1687812600,34.8133051500,45.07977294921875,0.0,3.7900925,,1713027122000,0.08360333,,338335699221599,2.5,0,,,
FLP,32.1687813000,34.8133052000,43.26625112248426,0.30606306,3.943,78.87053,1713027121559,0.08360333,45.0,338335699221599,2.3561187,0,,,
GPS,32.1687818600,34.8133062500,45.5303955078125,0.0,3.7900925,,1713027123000,0.74863356,,338336694580660,2.5,0,,,
FLP,32.1687819000,34.8133063000,43.349293498604055,0.19496098,3.937,71.2203,1713027122553,0.74863356,45.0,338336694580660,2.3632982,0,,,
GPS,32.1687811800,34.8133069200,45.57421875,0.0,3.7900925,,1713027124000,0.73026913,,338337692563733,2.5,0,,,
FLP,32.1687813000,34.8133070000,43.35133433480357,0.11155952,3.972,98.46399,1713027123551,0.73026913,45.0,338337692563733,2.3475907,0,,,
NLP,32.1688259000,34.8134100000,50.80000305175781,,13.93,,1713027123990,,,338338130000000,25.847843,0,,,
FLP,32.1687812000,34.8133070000,43.35133433480357,0.07227927,3.991,,1713027123990,1.5,,338338130000000,2.3857677,0,,,
GPS,32.1687810200,34.8132995100,45.8175048828125,0.91,3.7900925,275.6,1713027125000,0.6954114,5.596941,338338695279879,2.5,0,,,
FLP,32.1687811000,34.8133001000,43.32480350265197,0.9071097,3.978,275.015,1713027124555,0.6954114,5.596941,338338695279879,2.3326902,0,,,
GPS,32.1687810200,34.8132849600,45.3790283203125,1.86,3.7900925,270.6,1713027126000,0.04128009,1.4216549,338339694230034,2.5,0,,,
FLP,32.1687811000,34.8132859000,43.279905361008275,1.8599714,3.978,270.0001,1713027125554,0.04128009,1.4216549,338339694230034,2.346908,0,,,
GPS,32.1687811800,34.8132693600,45.192626953125,1.46,3.7900925,271.2,1713027127000,0.114469424,5.060102,338340696141127,2.5,0,,,
FLP,32.1687812000,34.8132689000,43.36437877010063,1.4600929,3.962,270.99963,1713027126556,0.114469424,5.060102,338340696141127,2.4155116,0,,,
GPS,32.1687828500,34.8132530900,44.857421875,1.61,3.7900925,276.3,1713027128000,0.7245537,28.052317,338341690367898,2.5,0,,,
FLP,32.1687827000,34.8132532000,42.98807325283879,1.6085278,3.978,275.94943,1713027127549,0.7245537,28.052317,338341690367898,2.3158877,0,,,
GPS,32.1687845000,34.8132366300,44.53289794921875,1.54,3.7900925,274.8,1713027129000,0.72403985,29.16324,338342697007220,2.5,0,,,
FLP,32.1687844000,34.8132365000,42.86971065418081,1.540618,3.972,274.02197,1713027128557,0.72403985,29.16324,338342697007220,2.2906253,0,,,
NLP,32.1688384000,34.8133082000,50.80000305175781,,22.228,,1713027129014,,,338343154000000,86.85961,0,,,
FLP,32.1687871000,34.8132326000,43.074592937732504,1.5382951,8.14,274.10797,1713027129014,1.5,45.0,338343154000000,2.4018295,0,,,
FLP,32.1687903000,34.8132328000,43.074592937732504,1.4565558,11.217,276.60507,1713027129322,1.5,45.0,338343463972272,2.4018295,0,,,
GPS,32.1687844600,34.8132204800,44.326904296875,1.57,3.7900925,271.3,1713027130000,0.7245587,28.60028,338343694129459,2.5,0,,,
FLP,32.1687937000,34.8132354000,43.57017783789396,1.3034515,13.525,281.93903,1713027129558,1.5,45.0,338343698409204,2.6329126,0,,,
FLP,32.1687912000,34.8132321000,43.57017783789396,1.2406244,14.017,301.2684,1713027129787,0.38101053,45.0,338343928880501,2.6329126,0,,,
FLP,32.1687915000,34.8132295000,43.57017783789396,1.2397791,13.373,300.13712,1713027130222,0.39114022,45.0,338344363773782,2.6329126,0,,,
GPS,32.1687842500,34.8132038300,44.1385498046875,1.56,3.7900925,272.2,1713027131000,0.7330684,29.07852,338344699915865,2.5,0,,,
FLP,32.1687893000,34.8132123000,43.506916344866816,1.5710948,13.677,271.2759,1713027130558,0.3755174,45.0,338344699915865,2.6459937,0,,,
FLP,32.1687874000,34.8131979000,43.506916344866816,1.4080911,12.43,274.4456,1713027131103,0.32121593,45.0,338345243125605,2.6459937,0,,,
GPS,32.1687853700,34.8131873900,44.453125,1.61,3.7900925,277.5,1713027132000,0.9664223,36.106266,338345697676020,2.5,0,,,
FLP,32.1687855000,34.8131882000,42.92358172293406,1.5932704,12.695,276.62366,1713027131556,0.42407018,45.0,338345697676020,2.361265,0,,,
FLP,32.1687854000,34.8131782000,42.92358172293406,1.4047295,11.761,281.2482,1713027132086,0.31706733,45.0,338346226755448,2.361265,0,,,
FLP,32.1687863000,34.8131720000,42.92358172293406,1.4066077,11.395,282.73993,1713027132503,0.3549384,45.0,338346644785865,2.361265,0,,,
GPS,32.1687955200,34.8131693900,44.44244384765625,1.93,3.7900925,302.7,1713027133000,1.0779437,33.89879,338346702189042,2.5,0,,,
FLP,32.1687962000,34.8131651000,43.53086782540404,1.5795807,11.25,299.7069,1713027132882,0.3104993,45.0,338347023462375,2.315174,0,,,
